point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de TGV Haute-Picardie,49.8592,2.83165,37.77,96.964,232.7,10.67
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de Tourcoing,50.71673,3.16801,74.0,195.244,468.6,21.48
Gare de Baden-Baden,48.7903,8.19119,Gare de Karlsruhe-Hbf,48.99441,8.40029,24.0,27.372,65.7,3.01
Gare de Baden-Baden,48.7903,8.19119,Gare de Strasbourg,48.58517,7.73397,28.0,40.593,97.4,4.47
Gare de Bar-le-Duc,48.77363,5.16702,Gare de Vitry-le-François,48.71773,4.58723,23.0,42.976,103.1,4.73
Gare de Bardonecchia-Stazione,45.07643,6.70964,Gare de Modane,45.19356,6.65918,18.33,13.617,32.7,1.5
Gare de Bardonecchia-Stazione,45.07643,6.70964,Gare de Oulx-Cesana-Clav-Sestri,45.03879,6.83154,10.0,10.453,25.1,1.15
Gare de Bayeux,49.26944,-0.69771,Gare de Caen,49.17654,-0.34827,20.0,27.408,65.8,3.01
Gare de Bayeux,49.26944,-0.69771,Gare de Lison,49.22705,-1.05028,18.0,26.031,62.5,2.86
Gare de Bayonne,43.49676,-1.4704,Gare de Biarritz,43.45938,-1.54601,12.5,7.385,17.7,0.81
Gare de Bayonne,43.49676,-1.4704,Gare de Dax,43.72067,-1.05032,33.5,42.01,100.8,4.62
Gare de Beaune,47.02304,4.84872,Gare de Dijon-Ville,47.3234,5.02728,22.5,36.034,86.5,3.96
Gare de Belfort-Montbéliard-TGV,47.58659,6.89903,Gare de Besançon-Franche-Comté,47.30747,5.95476,22.8,77.518,186.0,8.53
Gare de Belfort-Montbéliard-TGV,47.58659,6.89903,Gare de Mulhouse,47.7418,7.34285,25.5,37.462,89.9,4.12
Gare de Bellegarde-s-V. Gare,46.1097,5.82365,Gare de Annemasse,46.19923,6.23639,45.75,33.325,80.0,3.67
Gare de Bellegarde-s-V. Gare,46.1097,5.82365,Gare de Mâcon-Loché-TGV,46.2829,4.77895,76.0,82.708,198.5,9.1
Gare de Bellegarde-s-V. Gare,46.1097,5.82365,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,194.67,399.711,959.3,43.97
Gare de Bernay,49.08699,0.59573,Gare de Evreux - Normandie,49.01856,1.14989,27.0,41.107,98.7,4.52
Gare de Bernay,49.08699,0.59573,Gare de Lisieux,49.13725,0.23168,16.0,27.089,65.0,2.98
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Belfort-Montbéliard-TGV,47.58659,6.89903,25.0,77.518,186.0,8.53
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Besançon-Viotte,47.24704,6.02191,14.5,8.418,20.2,0.93
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Chalon-sur-Saône,46.78157,4.84349,58.5,102.547,246.1,11.28
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Dijon-Ville,47.3234,5.02728,30.33,69.963,167.9,7.7
Gare de Besançon-Viotte,47.24704,6.02191,Gare de Besançon-Franche-Comté,47.30747,5.95476,12.5,8.418,20.2,0.93
Gare de Besançon-Viotte,47.24704,6.02191,Gare de Dole-Ville,47.09616,5.48804,23.2,43.718,104.9,4.81
Gare de Biarritz,43.45938,-1.54601,Gare de Bayonne,43.49676,-1.4704,12.67,7.385,17.7,0.81
Gare de Biarritz,43.45938,-1.54601,Gare de St-Jean-de-Luz-Ciboure,43.38585,-1.66116,16.0,12.387,29.7,1.36
