point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (CO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
METZ-NANCY-LORRAINE,48.97972,6.25,MARSEILLE-PROVENCE,43.43972,5.20972,80.0,621.864,,74.62
PARIS-ORLY,48.71972,2.37972,FIGARI-SUD-CORSE,41.5,9.09972,103.53,960.713,,115.29
ROUEN-VALLEE-DE-SEINE,49.39,1.17972,BASTIA-PORETTA,42.54972,9.48,110.0,994.867,,119.38
FIGARI-SUD-CORSE,41.5,9.09972,ROUEN-VALLEE-DE-SEINE,49.39,1.17972,110.0,1072.944,,128.75
PAU-PYRENEES,43.38,-0.42,BREST-BRETAGNE,48.45,-4.41972,100.0,643.577,,77.23
BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,MARSEILLE-PROVENCE,43.43972,5.20972,67.5,544.479,,65.34
BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,NICE-COTE-D'AZUR,43.67,7.20972,84.58,704.912,,84.59
BREST-BRETAGNE,48.45,-4.41972,MARSEILLE-PROVENCE,43.43972,5.20972,97.5,929.764,,111.57
POITIERS-BIARD,46.59,0.31,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,135.0,852.68,,102.32
BRIVE-VALLEE-DE-DORDOGNE-,45.04111,1.48306,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,85.0,685.168,,82.22
BORDEAUX-MERIGNAC,44.82972,-0.71972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,90.0,834.94,,100.19
RENNES-ST-JACQUES,48.07,-1.72972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,115.0,1073.38,,128.81
LILLE-LESQUIN,50.56,3.08972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,115.0,1056.719,,126.81
METZ-NANCY-LORRAINE,48.97972,6.25,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,90.0,810.576,,97.27
STRASBOURG-ENTZHEIM,48.53972,7.62972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,87.5,742.552,,89.11
CAEN-CARPIQUET,49.17,-0.45,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,105.0,1080.709,,129.69
AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,NANTES-ATLANTIQUE,47.15972,-1.61,105.0,1009.766,,121.17
PAU-PYRENEES,43.38,-0.42,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,110.0,771.742,,92.61
LYON-SAINT-EXUPERY,45.72972,5.08,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,73.64,518.62,,62.23
STRASBOURG-ENTZHEIM,48.53972,7.62972,BASTIA-PORETTA,42.54972,9.48,85.0,682.156,,81.86
LYON-SAINT-EXUPERY,45.72972,5.08,BASTIA-PORETTA,42.54972,9.48,75.0,498.706,,59.84
ANGERS-MARCE,47.56,-0.31,BASTIA-PORETTA,42.54972,9.48,110.0,949.48,,113.94
LILLE-LESQUIN,50.56,3.08972,BASTIA-PORETTA,42.54972,9.48,110.0,1016.146,,121.94
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,BASTIA-PORETTA,42.54972,9.48,75.0,619.952,,74.39
