point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Baillargues,43.65312,4.00669,Gare de Montpellier-Saint-Roch,43.60583,3.88236,8.38,11.317,336.1,0.91
Chambourg-Chopin,47.18221,0.96805,Azay-Rivieres,47.20921,0.94616,3.86,3.431,101.9,0.27
Chambray-CHR-Trousseau,47.34777,0.71,Gare de Tours,47.38981,0.69351,15.28,4.842,143.8,0.39
Gare de Lunéville,48.58799,6.49703,Gare de Nancy-Ville,48.68978,6.17427,20.06,26.307,781.3,2.1
Gare de Amiens,49.89053,2.3081,Gare de St-Roch (Somme),49.89342,2.28372,5.42,1.778,52.8,0.14
Gare de Molsheim,48.53752,7.50021,Gare de Dorlisheim,48.52429,7.49282,2.28,1.57,46.6,0.13
Gare de Dorlisheim,48.52429,7.49282,Gare de Rosheim,48.50497,7.49128,3.17,2.154,64.0,0.17
Gare de Joigny,47.97383,3.39296,Gare de Sens,48.19804,3.26733,16.56,26.649,791.5,2.13
Gare de Lunel,43.67952,4.13081,Gare de Baillargues,43.65312,4.00669,6.28,10.418,309.4,0.83
Gare de St-Amour,46.43368,5.33454,Gare de Cousance,46.53516,5.38705,7.29,11.992,356.2,0.96
Gare de Cousance,46.53516,5.38705,Gare de Lons-le-Saunier,46.6684,5.55088,13.54,19.416,576.7,1.55
Gare de Liverdun,48.7494,6.06164,Gare de Frouard,48.75552,6.14425,5.56,6.101,181.2,0.49
Gare de Valenciennes,50.36318,3.51713,Gare de St-Amand-les-Eaux,50.44323,3.41936,8.74,11.293,335.4,0.9
Gare de St-Clair-les-Roches,45.45039,4.7699,Gare de Vienne,45.52121,4.87431,7.8,11.338,336.7,0.91
Gare de Pessac,44.8046,-0.63175,Gare de Bordeaux-St-Jean,44.82654,-0.55619,5.97,6.447,191.5,0.52
Gare de Lingolsheim,48.55944,7.67859,Gare de Entzheim-Aéroport,48.547,7.62795,3.61,3.98,118.2,0.32
Clion-sur-Indre,46.9452,1.23872,Chatillon-Hôtel,46.98337,1.17501,6.1,6.44,191.3,0.52
Chatillon-Hôtel,46.98337,1.17501,Chatillon-Mail,46.98838,1.1718,1.98,0.609,18.1,0.05
Gare de Nîmes,43.83229,4.36584,Gare de Vergèze-Codognan,43.73982,4.21884,9.41,15.669,465.4,1.25
Gare de Nîmes,43.83229,4.36584,Gare de Nîmes Pont-du-Gard,43.81681,4.50768,8.36,11.521,342.2,0.92
Gare de Miramas,43.58074,4.9996,Gare de St-Martin-de-Crau,43.62237,4.80027,9.62,16.723,496.7,1.34
Gare de St-Martin-de-Crau,43.62237,4.80027,Gare de Arles,43.68484,4.63202,8.72,15.231,452.4,1.22
Gare de Portet-St-Simon,43.53078,1.4059,Gare de St-Agne,43.57926,1.44956,5.94,6.444,191.4,0.52
Gare de Varangéville-St-Nicolas,48.63515,6.31337,Gare de Dombasle-sur-Meurthe,48.62334,6.34353,2.79,2.579,76.6,0.21
Gare de Dombasle-sur-Meurthe,48.62334,6.34353,Gare de Rosières-aux-Salines,48.60542,6.35063,2.07,2.062,61.2,0.16
Gare de Rosières-aux-Salines,48.60542,6.35063,Gare de Blainville-Damelevières,48.56491,6.38672,4.04,5.234,155.4,0.42
Gare de Etival-Clairefontaine,48.36703,6.8771,Gare de Raon-l'Etape,48.40395,6.83708,4.69,5.064,150.4,0.41
Gare de Gap,44.56369,6.08568,Gare de Veynes-Dévoluy,44.532,5.81583,24.14,21.696,644.4,1.74
Gare de Flers,48.74437,-0.57368,Gare de Briouze,48.702,-0.36744,11.25,15.863,471.1,1.27
Gare de Beaulieu-sur-Mer,43.70667,7.33157,Gare de Villefranche-sur-Mer,43.70701,7.3143,2.25,1.39,41.3,0.11
Gare de Villefranche-sur-Mer,43.70701,7.3143,Gare de Nice-Riquier,43.7057,7.29039,2.45,1.93,57.3,0.15
Gare de Nice-Riquier,43.7057,7.29039,Gare de Nice-Ville,43.70471,7.26179,3.48,2.304,68.4,0.18
Gare de Antibes,43.58579,7.11952,Gare de Juan-les-Pins,43.57091,7.11151,2.15,1.778,52.8,0.14
Gare de Montpon-Ménestérol,45.00628,0.15934,Gare de Mussidan,45.03437,0.35407,8.91,15.638,464.4,1.25
Gare de Lyon-Jean-Macé,45.7452,4.84151,Gare de Lyon-Perrache,45.74879,4.82594,3.07,1.274,37.8,0.1
Gare de Montpellier-Saint-Roch,43.60583,3.88236,Gare de Frontignan,43.44459,3.75901,11.42,20.525,609.6,1.64
Gare de Tonnerre,47.8596,3.9735,Gare de St-Florentin-Vergigny,47.98041,3.73095,13.79,22.545,669.6,1.8
Gare de St-Florentin-Vergigny,47.98041,3.73095,Gare de Laroche-Migennes,47.96085,3.51294,12.48,16.393,486.9,1.31
Gare de Avignon-Centre,43.94188,4.80526,Gare de Sorgues-Chât.du-Pape,44.00542,4.87561,7.29,9.044,268.6,0.72
Gare de Pont-à-Mousson,48.90028,6.0508,Gare de Pagny-sur-Moselle,48.98534,6.02517,6.03,9.652,286.7,0.77
Gare de Epernay,49.04652,3.96021,Gare de Châlons-en-Champagne,48.95551,4.34895,20.18,30.143,895.2,2.41
Gare de Nantes,47.2175,-1.54193,Gare de Ancenis,47.36946,-1.17761,17.89,32.291,959.0,2.58
Gare de Heiligenberg-Mollkirch,48.52749,7.3815,Gare de Urmatt,48.52553,7.33827,3.79,3.194,94.9,0.26
Gare de Briouze,48.702,-0.36744,Gare de Argentan,48.73846,-0.02572,16.8,25.422,755.0,2.03
Gare de Nice-Ville,43.70471,7.26179,Gare de Nice-St-Augustin,43.67104,7.21694,5.51,5.204,154.6,0.42
Gare de Nice-St-Augustin,43.67104,7.21694,Gare de St-Laurent-du-Var,43.66245,7.19447,2.24,2.046,60.8,0.16
Gare de Libourne,44.91588,-0.23637,Gare de Coutras,45.03665,-0.13143,9.77,15.78,468.7,1.26
Gare de Joigny,47.97383,3.39296,Gare de St-Julien-du-Sault,48.02695,3.30273,8.59,8.952,265.9,0.72
Gare de St-Julien-du-Sault,48.02695,3.30273,Gare de Villeneuve-sur-Yonne,48.08494,3.28625,6.84,6.571,195.2,0.53
Gare de Alençon,48.4338,0.09905,Gare de Sées,48.60016,0.16611,12.83,19.168,569.3,1.53
Gare de Lisieux,49.13725,0.23168,Gare de Bernay,49.08699,0.59573,15.83,27.11,805.2,2.17
Gare de Vienne,45.52121,4.87431,Gare de Lyon-Part-Dieu,45.76059,4.85944,20.79,26.672,792.2,2.13
Gare de Riom-Châtel-Guyon,45.88984,3.12081,Gare de Vichy,46.12697,3.43049,25.13,35.638,1058.4,2.85
Gare de Auxerre-St-Gervais,47.79761,3.58514,Gare de Laroche-Migennes,47.96085,3.51294,16.34,18.954,562.9,1.52
Gare de Perpignan,42.69607,2.87962,Gare de Rivesaltes,42.76616,2.86782,6.9,7.862,233.5,0.63
Gare de Rivesaltes,42.76616,2.86782,Gare de Salses,42.83576,2.91755,6.0,8.748,259.8,0.7
Gare de Salses,42.83576,2.91755,Gare de Leucate-la-Franqui,42.93284,3.01275,8.52,13.307,395.2,1.06
Gare de Leucate-la-Franqui,42.93284,3.01275,Gare de Port-la-Nouvelle,43.02086,3.0388,8.06,10.025,297.7,0.8
Gare de Port-la-Nouvelle,43.02086,3.0388,Gare de Narbonne,43.19103,3.00596,12.87,19.13,568.2,1.53
Gare de Carcassonne,43.21771,2.35188,Gare de Bram,43.24371,2.11956,13.93,19.063,566.2,1.53
Gare de Bram,43.24371,2.11956,Gare de Castelnaudary,43.31265,1.95099,10.48,15.669,465.4,1.25
Gare de Les Laumes-Alésia,47.54332,4.46287,Gare de Montbard,47.61872,4.33615,8.22,12.688,376.8,1.02
Gare de Montbard,47.61872,4.33615,Gare de Nuits-sous-Ravières,47.72921,4.21127,10.34,15.456,459.0,1.24
Gare de Nuits-sous-Ravières,47.72921,4.21127,Gare de Tonnerre,47.8596,3.9735,14.59,22.953,681.7,1.84
Gare de Marseille-St-Charles,43.30273,5.38065,Gare de Vitrolles-Aér-Marseille,43.44249,5.23712,16.56,19.415,576.6,1.55
