point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Reignac,47.21779,0.90129,Courcay-Rouvre,47.23789,0.86644,4.0,3.456,37.3,0.31
Gare de Vierzon,47.22652,2.05982,Gare de Paris-Austerlitz,48.84165,2.36604,93.0,181.23,1957.3,16.31
Gare de Cognac,45.68445,-0.32616,Gare de Saintes,45.74784,-0.61758,35.45,23.724,256.2,2.14
Rambervillers (11 Nov),48.33319,6.63667,Ramberv. Ancienne Gare,48.34063,6.63485,1.43,0.839,9.1,0.08
Perrusson,47.10118,1.01402,Loches-Agnès-Sorel,47.12533,0.99352,10.19,3.105,33.5,0.28
Surins-Carref-RN143,46.82916,1.56443,Villedieu-8-mai-1945,46.84746,1.53881,2.73,2.821,30.5,0.25
Keskastel,48.96541,7.04884,Sarralbe Centre,49.00184,7.02975,8.0,4.288,46.3,0.39
Bouxwiller-Clos-des-S.,48.82821,7.48666,Bouxwiller-Centre-Ville,48.82747,7.48291,1.95,0.287,3.1,0.03
Bouxwiller-Centre-Ville,48.82747,7.48291,Bouxwiller-Schattenmann,48.8264,7.47893,1.95,0.315,3.4,0.03
Bouxwiller-Schattenmann,48.8264,7.47893,Neuwiller-R.-Bouxwiller,48.82291,7.40707,8.0,5.281,57.0,0.48
Neuwiller-R.-Bouxwiller,48.82291,7.40707,Neuwiller-(Pharmacie),48.82348,7.40269,1.22,0.327,3.5,0.03
Neuwiller-(Pharmacie),48.82348,7.40269,Dossenheim-Lotissement,48.80752,7.40216,2.72,1.777,19.2,0.16
Dossenheim-Lotissement,48.80752,7.40216,Dossenheim-(Mairie),48.80522,7.40244,1.06,0.257,2.8,0.02
Ste-Marie/-Ms-(-Théâtre,48.24361,7.18083,Ste-Marie-/-Ms-(-Super-,48.24863,7.18918,2.0,0.834,9.0,0.08
Gare de Brive-la-Gaillarde,45.15256,1.52862,Gare de Uzerche,45.44062,1.57023,25.19,32.231,348.1,2.9
Gare de Uzerche,45.44062,1.57023,Gare de Limoges-Bénédictins,45.83621,1.26745,36.81,49.945,539.4,4.5
Gare de Souillac,44.90234,1.46521,Gare de Brive-la-Gaillarde,45.15256,1.52862,24.41,28.297,305.6,2.55
Gare de Gap,44.56369,6.08568,Gare de Veynes-Dévoluy,44.532,5.81583,29.26,21.696,234.3,1.95
Gare de Clelles-Mens,44.82725,5.60501,Gare de Monestier-de-Clermont,44.91202,5.63395,16.2,9.709,104.9,0.87
Bourges-Gare-Routière,47.08281,2.38689,Gare de Bourges,47.09409,2.39423,6.88,1.373,14.8,0.12
Gare de St-Gervais-L-B-Le-Fayet,45.90647,6.70072,Gare de Sallanches-Comb.Megève,45.93567,6.63647,16.09,5.943,64.2,0.53
Gare de Vittel,48.20246,5.94226,Gare de Contrexéville,48.17998,5.89098,12.0,4.554,49.2,0.41
Gare de Montbrison,45.60447,4.07822,Gare de Boën,45.74137,4.00501,18.11,16.268,175.7,1.46
Gare de St-Romain-le-Puy,45.55455,4.12077,Gare de Montbrison,45.60447,4.07822,12.0,6.471,69.9,0.58
St-Genou-ZI,46.9052,1.35436,St-Genou-Brisepaille,46.91198,1.33122,1.15,1.915,20.7,0.17
St-Genou-Brisepaille,46.91198,1.33122,Clion-sur-Indre,46.9452,1.23872,7.2,7.945,85.8,0.72
Sarre-Union,48.9366,7.08542,Keskastel,48.96541,7.04884,11.0,4.176,45.1,0.38
Pfaffenhoffen-Républiqu,48.84401,7.60755,Gare de Obermodern,48.84255,7.5472,5.95,4.424,47.8,0.4
Liepvre-(-Musloch-),48.26765,7.24857,Ste-Croix/Mines-Stimbac,48.26471,7.23388,1.94,1.137,12.3,0.1
Ste-Croix/Mines-Stimbac,48.26471,7.23388,Ste-Croix-Ms-Centre,48.2625,7.22444,1.06,0.742,8.0,0.07
Ste-Croix-Ms-Centre,48.2625,7.22444,Ste-Croix/Mines-Sq-de-G,48.26113,7.2189,1.0,0.438,4.7,0.04
Ste-Croix/Mines-Sq-de-G,48.26113,7.2189,Ste-Marie-/-Ms-S.Techni,48.25224,7.19501,2.93,2.028,21.9,0.18
Ste-Marie-/-Ms-Pl-.CdG,48.24363,7.17639,Ste-Marie/-Ms-(-Théâtre,48.24361,7.18083,1.0,0.329,3.6,0.03
Gare de Brive-la-Gaillarde,45.15256,1.52862,Gare de Limoges-Bénédictins,45.83621,1.26745,61.11,78.783,850.9,7.09
Gare de Châteauroux,46.80982,1.69946,Gare de Vierzon,47.22652,2.05982,30.06,53.848,581.6,4.85
Gare de Thiers,45.86109,3.54306,Gare de Pont-de-Dore,45.84282,3.49043,13.78,4.559,49.2,0.41
Gare de Veynes-Dévoluy,44.532,5.81583,Aspres-sur-Buech,44.51939,5.75456,9.93,5.061,54.7,0.46
Menchhoffen-(Abri),48.85955,7.49466,Gare de Ingwiller,48.87176,7.4768,5.09,1.886,20.4,0.17
Gare de Ingwiller,48.87176,7.4768,Wimmenau-(D919 R/Gar),48.91005,7.41996,8.17,5.956,64.3,0.54
Wimmenau-(D919 R/Gar),48.91005,7.41996,Gare de Wingen-sur-Moder,48.92006,7.38059,6.33,3.088,33.4,0.28
St-Flour-les-Allées,45.03294,3.08837,Gare de St-Flour-Chaudes-Aigues,45.03484,3.10617,6.21,1.416,15.3,0.13
Gare de Boën,45.74137,4.00501,Noirétable,45.81591,3.76103,26.0,20.679,223.3,1.86
Saint-Etienne-Chtx GR,45.4427,4.39986,Gare de St-Etienne-la-Terrasse,45.46485,4.37953,12.69,2.933,31.7,0.26
Gare de Le Puy-en-Velay,45.04272,3.89253,Le Puy-en-Velay Lafayette,45.04355,3.88687,5.07,0.455,4.9,0.04
Le Puy-en-Velay Lafayette,45.04355,3.88687,Puy-en-Velay-Hopital,45.0492,3.8772,1.0,0.987,10.7,0.09
Rambervillers (Lunev.),48.352,6.63179,Roville-aux-Chènes Lyc.,48.38461,6.60467,5.11,4.147,44.8,0.37
Magnières (Lotissement),48.44956,6.56369,Vallois (Centre),48.46333,6.5486,3.07,1.895,20.5,0.17
Vallois (Centre),48.46333,6.5486,Moyen,48.48343,6.56643,4.25,2.596,28.0,0.23
Roville-aux-Chènes Lyc.,48.38461,6.60467,St-Pierremont,48.4375,6.57638,5.0,6.248,67.5,0.56
Pfaffenhoffen-(Mairie).,48.8449,7.61081,Pfaffenhoffen-Républiqu,48.84401,7.60755,1.68,0.259,2.8,0.02
Gare de Obermodern,48.84255,7.5472,Bouxwiller-Clos-des-S.,48.82821,7.48666,6.06,4.714,50.9,0.42
Saverne-(Pl.-Dragons),48.73978,7.36179,Saverne-(Ht-Barr),48.73154,7.35227,8.0,1.153,12.5,0.1
Tauxigny-Node-Park,47.21516,0.83436,Gare de Cormery,47.26235,0.83382,2.75,5.253,56.7,0.47
