point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Saumur Nord -Vivy,47.31008,-0.03161,Tours (Parking les Peupliers),47.38338,0.70235,51.67,79.176,4631.8,5.54
Besançon,47.24691,6.0226,Lyon Perrache (Central Bus Station),45.74875,4.82602,186.67,255.443,14943.4,17.88
Lyon Perrache (Central Bus Station),45.74875,4.82602,Avignon (Le Pontet),43.96063,4.85594,180.83,223.103,13051.5,15.62
Bordeaux Saint-Jean,44.82982,-0.55521,Niort (Pied de Fond),46.30729,-0.48525,135.0,189.904,11109.4,13.29
Niort (Pied de Fond),46.30729,-0.48525,Nantes Haluchère,47.24893,-1.52081,115.0,150.206,8787.1,10.51
Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,Toulon (Central Bus Station),43.12779,5.93074,105.0,143.373,8387.3,10.04
Avignon (Le Pontet),43.96063,4.85594,Nîmes (P+R Parnasse),43.81743,4.36218,50.0,52.408,3065.9,3.67
Perpignan (Central Bus station),42.69502,2.87907,Montpellier (Sabines),43.58393,3.86023,113.33,1.046,61.2,0.07
Paris Porte de Saint Ouen,48.90109,2.3318,Le Havre (central bus station),49.49224,0.12615,158.33,192.975,11289.0,13.51
Paris Porte de Saint Ouen,48.90109,2.3318,Paris (Bercy Seine),48.83532,2.38052,38.57,15.781,923.2,1.1
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,49.17,30.563,1787.9,2.14
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Carcassonne,43.21546,2.34779,91.67,94.106,5505.2,6.59
Montpellier (Sabines),43.58393,3.86023,Marseille (central bus station St Charles),43.30408,5.37999,133.33,170.175,9955.2,11.91
Dijon (bus station),47.32353,5.0279,Auxerre,47.79662,3.5845,109.17,147.0,8599.5,10.29
Auxerre,47.79662,3.5845,Paris (Bercy Seine),48.83532,2.38052,128.33,167.739,9812.7,11.74
Valence France (Central bus station),44.92691,4.89239,Lyon Perrache (Central Bus Station),45.74875,4.82602,86.67,107.651,6297.6,7.54
Dijon (bus station),47.32353,5.0279,Beaune (Péage Sud),47.00345,4.85347,41.67,42.4,2480.4,2.97
Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,Orléans (Libération),47.91953,1.90349,83.75,109.788,6422.6,7.69
Cannes (Le Cannet),43.5707,7.01485,Fréjus (Péage Ouest),43.45631,6.68948,36.25,39.694,2322.1,2.78
Marseille (central bus station St Charles),43.30408,5.37999,Lyon Perrache (Central Bus Station),45.74875,4.82602,231.25,312.671,18291.3,21.89
Lyon Perrache (Central Bus Station),45.74875,4.82602,Paris (Orly Airport),48.73156,2.37358,324.0,448.774,26253.3,31.41
Annecy (Central Bus Station),45.90166,6.12032,Aix-les-Bains (Centre Commercial),45.65674,5.91252,30.0,274.023,16030.3,19.18
Aix-les-Bains (Centre Commercial),45.65674,5.91252,Lyon Perrache (Central Bus Station),45.74875,4.82602,91.25,102.515,5997.1,7.18
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Ussel,45.51243,2.25747,125.0,90.376,5287.0,6.33
Ussel,45.51243,2.25747,Tulle (Péage Nord),45.32849,1.76515,40.0,52.075,3046.4,3.65
Montauban (Aussone),44.04471,1.38971,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,55.0,57.766,3379.3,4.04
Lyon Perrache (Central Bus Station),45.74875,4.82602,Chambéry (Central Bus Station),45.56998,5.91742,87.5,98.806,5780.2,6.92
Paris (Bercy Seine),48.83532,2.38052,Tours (Parking les Peupliers),47.38338,0.70235,177.5,237.119,13871.5,16.6
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Gallieni),48.8656,2.41457,136.25,145.573,8516.0,10.19
Nantes Haluchère,47.24893,-1.52081,La Rochelle (Bus Station),46.16225,-1.15415,120.0,145.924,8536.6,10.21
La Rochelle (Bus Station),46.16225,-1.15415,Bordeaux Saint-Jean,44.82982,-0.55521,142.5,188.102,11004.0,13.17
Paris (Bercy Seine),48.83532,2.38052,Versailles (IC),48.80042,2.07517,30.0,29.704,1737.7,2.08
Versailles (IC),48.80042,2.07517,Orléans (Libération),47.91953,1.90349,90.0,115.469,6754.9,8.08
Lyon Perrache (Central Bus Station),45.74875,4.82602,Bellegarde (Péage),46.11511,5.7949,95.0,110.485,6463.4,7.73
Bourges (central bus station),47.08247,2.3867,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,141.25,191.848,11223.1,13.43
Montpellier (Sabines),43.58393,3.86023,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,168.75,239.038,13983.7,16.73
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Narbonne (Croix Sud),43.16527,2.98845,121.25,149.806,8763.7,10.49
Tours (Parking les Peupliers),47.38338,0.70235,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,263.0,340.986,19947.7,23.87
Quimper (Central bus station),47.99469,-4.09378,Lorient (central bus station),47.75536,-3.36449,55.0,66.142,3869.3,4.63
Le Mans,48.01747,0.14949,Angers (central bus station),47.46502,-0.55917,68.75,92.18,5392.5,6.45
Avignon (Le Pontet),43.96063,4.85594,Aix-en-Provence (Parking Krypton),43.51099,5.44762,75.0,82.136,4805.0,5.75
Bordeaux Saint-Jean,44.82982,-0.55521,Paris (Bercy Seine),48.83532,2.38052,405.0,585.886,34274.3,41.01
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris Porte de Saint Ouen,48.90109,2.3318,41.67,24.237,1417.9,1.7
Paris (Bercy Seine),48.83532,2.38052,Paris Pont de Levallois,48.89774,2.28125,38.75,12.427,727.0,0.87
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Périgueux (Créavallée Nord),45.14313,0.69851,49.75,76.066,4449.9,5.32
Périgueux (Créavallée Nord),45.14313,0.69851,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,210.0,245.161,14341.9,17.16
Nîmes (P+R Parnasse),43.81743,4.36218,Lyon Perrache (Central Bus Station),45.74875,4.82602,180.0,255.556,14950.0,17.89
Rennes (Central bus station),48.1039,-1.67062,Paris (Bercy Seine),48.83532,2.38052,255.0,344.992,20182.0,24.15
Annemasse,46.19933,6.23778,Annecy (Rue Vaugelas),45.90098,6.12144,42.5,48.995,2866.2,3.43
Annecy (Rue Vaugelas),45.90098,6.12144,Chambéry (Central Bus Station),45.56998,5.91742,45.0,48.427,2833.0,3.39
Grenoble (central bus station),45.19283,5.71394,Valence France (Central bus station),44.92691,4.89239,115.0,92.644,5419.7,6.49
Valence France (Central bus station),44.92691,4.89239,Avignon (Le Pontet),43.96063,4.85594,92.5,123.124,7202.8,8.62
Nîmes (P+R Parnasse),43.81743,4.36218,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,212.5,288.705,16889.2,20.21
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Orthez,43.46717,-0.74906,165.0,231.515,13543.6,16.21
Grenoble (central bus station),45.19283,5.71394,Aix-en-Provence (Parking Krypton),43.51099,5.44762,227.5,290.083,16969.9,20.31
Niort (Pied de Fond),46.30729,-0.48525,Poitiers (Central bus station),46.58451,0.33563,73.33,80.105,4686.1,5.61
Étampes,48.43366,2.17208,Arpajon,48.5866,2.24539,15.0,19.121,1118.6,1.34
Arpajon,48.5866,2.24539,Paris (Bercy Seine),48.83532,2.38052,35.0,32.314,1890.4,2.26
Paris (Bercy Seine),48.83532,2.38052,Champigny,48.81273,2.53239,25.0,15.693,918.0,1.1
Champigny,48.81273,2.53239,Château-Thierry,49.05927,3.3949,68.33,82.162,4806.5,5.75
Château-Thierry,49.05927,3.3949,Reims Champagne Ardenne TGV,49.21516,3.99451,45.0,59.596,3486.4,4.17
Metz (central bus station),49.11016,6.18377,Hagondange,49.25394,6.16793,20.0,19.853,1161.4,1.39
Reims Champagne Ardenne TGV,49.21516,3.99451,Strasbourg,48.57418,7.75427,235.0,351.92,20587.3,24.63
Rouen (Avenue Champlain),49.43419,1.0927,Yvetot,49.61887,0.75476,35.0,35.996,2105.8,2.52
Yvetot,49.61887,0.75476,Fécamp (Gare routière),49.75924,0.37522,35.0,34.22,2001.9,2.4
Incarville - Val de Reuil,49.23541,1.18268,Paris (Bercy Seine),48.83532,2.38052,110.0,116.406,6809.8,8.15
Incarville - Val de Reuil,49.23541,1.18268,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,73.33,97.914,5728.0,6.85
Cannes (Le Cannet),43.5707,7.01485,Marseille (central bus station St Charles),43.30408,5.37999,127.5,171.461,10030.5,12.0
Saint-Étienne,45.4425,4.40286,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,112.5,149.162,8726.0,10.44
Dieppe (Central bus station),49.92152,1.08058,Rouen (Avenue Champlain),49.43419,1.0927,57.0,64.552,3776.3,4.52
Tours (Parking les Peupliers),47.38338,0.70235,Angers (central bus station),47.46502,-0.55917,100.0,128.95,7543.6,9.03
Nice Airport (Bus Station - Terminal 1),43.66482,7.20959,Cannes (Le Cannet),43.5707,7.01485,42.5,25.321,1481.3,1.77
Fréjus (Péage Ouest),43.45631,6.68948,Marseille (central bus station St Charles),43.30408,5.37999,95.0,133.318,7799.1,9.33
Brive-la-Gaillarde (Centre Commercial Ouest),45.14592,1.48255,Montauban (Aussone),44.04471,1.38971,95.0,139.739,8174.7,9.78
Calais (Bus Stop on Terminal Ferry),50.96679,1.86345,Paris (Bercy Seine),48.83532,2.38052,230.0,291.8,17070.3,20.43
Saintes,45.75549,-0.65154,Bordeaux Saint-Jean,44.82982,-0.55521,85.0,117.978,6901.7,8.26
Montauban (Aussone),44.04471,1.38971,Limoges (central bus station),45.8359,1.26835,155.0,232.481,13600.1,16.27
Limoges (central bus station),45.8359,1.26835,Orléans (Libération),47.91953,1.90349,192.5,270.28,15811.4,18.92
Toulouse (Blagnac Airport),43.63044,1.3745,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,20.0,4.506,263.6,0.32
