point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Arcachon,44.65892,-1.16537,Gare de La Teste,44.63696,-1.14298,4.0,3.017,9.7,0.33
Gare de Arles,43.68484,4.63202,Gare de Avignon-Centre,43.94188,4.80526,21.0,31.792,101.7,3.5
Gare de Arles,43.68484,4.63202,Gare de Miramas,43.58074,4.9996,22.67,31.777,101.7,3.5
Gare de Arras,50.28682,2.78113,Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,47.75,143.481,459.1,15.78
Gare de Arras,50.28682,2.78113,Gare de Douai,50.37168,3.08996,19.2,23.874,76.4,2.63
Gare de Arras,50.28682,2.78113,Gare de Lens,50.42677,2.8282,22.22,15.921,50.9,1.75
Gare de Arras,50.28682,2.78113,Gare de Lille Europe,50.63885,3.07575,31.83,44.367,142.0,4.88
Gare de Arras,50.28682,2.78113,Gare de Lille Flandres,50.6362,3.07102,36.0,43.95,140.6,4.83
Gare de Arras,50.28682,2.78113,Gare de Paris Gare du Nord,48.88014,2.35489,59.18,159.454,510.3,17.54
Gare de Arras,50.28682,2.78113,Gare de TGV Haute-Picardie,49.8592,2.83165,22.2,47.7,152.6,5.25
Gare de Auray,47.68019,-3.0,Gare de Lorient,47.7552,-3.36635,19.0,28.657,91.7,3.15
Gare de Auray,47.68019,-3.0,Gare de Vannes,47.66532,-2.75252,15.0,18.609,59.5,2.05
Gare de Avignon-Centre,43.94188,4.80526,Gare de Arles,43.68484,4.63202,19.67,31.792,101.7,3.5
Gare de Avignon-Centre,43.94188,4.80526,Gare de Orange,44.13731,4.8195,16.5,21.767,69.7,2.39
Gare de Avignon-TGV,43.92196,4.78615,Gare de Aix-en-Provence-TGV,43.45515,5.31726,23.83,67.237,215.2,7.4
Gare de Avignon-TGV,43.92196,4.78615,Gare de Lyon-Part-Dieu,45.76059,4.85944,68.78,204.591,654.7,22.51
Gare de Avignon-TGV,43.92196,4.78615,Gare de Lyon-Perrache,45.74879,4.82594,68.0,203.221,650.3,22.35
Gare de Avignon-TGV,43.92196,4.78615,Gare de Lyon-Saint-Exupery-Tgv,45.72093,5.07583,58.44,201.399,644.5,22.15
Gare de Avignon-TGV,43.92196,4.78615,Gare de Marseille-St-Charles,43.30273,5.38065,35.33,83.882,268.4,9.23
Gare de Avignon-TGV,43.92196,4.78615,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,168.64,577.946,1849.4,63.57
Gare de Avignon-TGV,43.92196,4.78615,Gare de Toulon,43.12832,5.92946,68.0,127.649,408.5,14.04
Gare de Avignon-TGV,43.92196,4.78615,Gare de Valence-TGV,44.99137,4.97894,37.43,119.931,383.8,13.19
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de Champagne-Ardenne,49.21164,3.98879,40.25,105.745,338.4,11.63
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de Lille Europe,50.63885,3.07575,62.12,185.405,593.3,20.39
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de Lille Flandres,50.6362,3.07102,68.08,185.05,592.2,20.36
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de Marne-la-Vallée-Chessy.,48.8706,2.78288,20.16,21.414,68.5,2.36
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de TGV Haute-Picardie,49.8592,2.83165,37.77,96.964,310.3,10.67
Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,Gare de Tourcoing,50.71673,3.16801,74.0,195.244,624.8,21.48
Gare de Baden-Baden,48.7903,8.19119,Gare de Karlsruhe-Hbf,48.99441,8.40029,24.0,27.372,87.6,3.01
Gare de Baden-Baden,48.7903,8.19119,Gare de Strasbourg,48.58517,7.73397,28.0,40.593,129.9,4.47
Gare de Bar-le-Duc,48.77363,5.16702,Gare de Vitry-le-François,48.71773,4.58723,23.0,42.976,137.5,4.73
