depart,depart,depart,arrivee,arrivee,arrivee,duree (min),distance (km)
nom,latitude,longitude,nom,latitude,longitude,,
La Rochelle (Bus Station),46.16225,-1.15415,Rochefort,45.94704,-0.96317,30,38.0497
Rochefort,45.94704,-0.96317,La Rochelle (Bus Station),46.16225,-1.15415,30,38.2509
La Rochelle (Bus Station),46.16225,-1.15415,La Roche sur Yon,46.67306,-1.43512,90,85.5785
La Roche sur Yon,46.67306,-1.43512,Nantes Haluchère,47.24893,-1.52081,65,75.2932
Nantes Haluchère,47.24893,-1.52081,Angers (central bus station),47.46502,-0.55917,60,86.5924
Angers (central bus station),47.46502,-0.55917,Le Mans,48.01747,0.14949,65,92.2363
Le Mans,48.01747,0.14949,Paris (Orly Airport),48.73156,2.37358,150,201.6315
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,30,15.0458
Paris (Bercy Seine),48.83532,2.38052,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,55,30.2235
Lyon Perrache (Central Bus Station),45.74875,4.82602,Aix-les-Bains (Centre Commercial),45.65674,5.91252,90,101.762
Aix-les-Bains (Centre Commercial),45.65674,5.91252,Annecy (Central Bus Station),45.90166,6.12032,30,37.3625
Annecy (Central Bus Station),45.90166,6.12032,Aix-les-Bains (Centre Commercial),45.65674,5.91252,30,274.023
Aix-les-Bains (Centre Commercial),45.65674,5.91252,Lyon Perrache (Central Bus Station),45.74875,4.82602,90,102.5152
Grenoble (central bus station),45.19283,5.71394,Lyon Saint Exupéry Airport,45.7185,5.07898,65,90.5192
Lyon Saint Exupéry Airport,45.7185,5.07898,Lyon Perrache (Central Bus Station),45.74875,4.82602,40,28.722
Lyon Perrache (Central Bus Station),45.74875,4.82602,Grenoble (central bus station),45.19283,5.71394,95,104.4014
Lyon Perrache (Central Bus Station),45.74875,4.82602,Lyon Saint Exupéry Airport,45.7185,5.07898,45,27.1529
Lyon Saint Exupéry Airport,45.7185,5.07898,Grenoble (central bus station),45.19283,5.71394,65,92.2766
Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,Cannes (Le Cannet),43.5707,7.01485,30,25.3375
Cannes (Le Cannet),43.5707,7.01485,Aix-en-Provence (Parking Krypton),43.51099,5.44762,110,149.2473
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Nîmes (P+R Parnasse),43.81743,4.36218,90,102.6729
Nîmes (P+R Parnasse),43.81743,4.36218,Montpellier (Sabines),43.58393,3.86023,55,53.1727
Montpellier (Sabines),43.58393,3.86023,Narbonne (Croix Sud),43.16527,2.98845,70,90.421
Narbonne (Croix Sud),43.16527,2.98845,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,130,149.5386
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Narbonne (Croix Sud),43.16527,2.98845,115,149.8058
Narbonne (Croix Sud),43.16527,2.98845,Montpellier (Sabines),43.58393,3.86023,70,91.1983
Montpellier (Sabines),43.58393,3.86023,Nîmes (P+R Parnasse),43.81743,4.36218,60,53.8036
Nîmes (P+R Parnasse),43.81743,4.36218,Aix-en-Provence (Parking Krypton),43.51099,5.44762,85,102.7888
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Cannes (Le Cannet),43.5707,7.01485,120,147.2308
Cannes (Le Cannet),43.5707,7.01485,Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,25,25.7897
Strasbourg,48.57418,7.75427,Metz (central bus station),49.11016,6.18377,120,165.2861
Metz (central bus station),49.11016,6.18377,Reims Champagne Ardenne TGV,49.21516,3.99451,135,195.2279
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Gallieni),48.8656,2.41457,100,145.5732
Paris (Gallieni),48.8656,2.41457,Reims Champagne Ardenne TGV,49.21516,3.99451,90,146.1992
Reims Champagne Ardenne TGV,49.21516,3.99451,Metz (central bus station),49.11016,6.18377,120,193.0424
Metz (central bus station),49.11016,6.18377,Strasbourg,48.57418,7.75427,120,165.6578
Chambéry (Central Bus Station),45.56998,5.91742,Lyon Perrache (Central Bus Station),45.74875,4.82602,85,101.4257
Lyon Perrache (Central Bus Station),45.74875,4.82602,Paris (Bercy Seine),48.83532,2.38052,335,461.5035
Paris (Bercy Seine),48.83532,2.38052,Lyon Perrache (Central Bus Station),45.74875,4.82602,330,461.1157
Lyon Perrache (Central Bus Station),45.74875,4.82602,Chambéry (Central Bus Station),45.56998,5.91742,90,98.8057
Perpignan (Central Bus station),42.69502,2.87907,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,195,0.0
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,85,110.1081
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,95,132.8369
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,95,134.1469
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Perpignan (Central Bus station),42.69502,2.87907,195,206.5835
Strasbourg,48.57418,7.75427,Mulhouse (bus station),47.74208,7.34194,90,115.7231
Mulhouse (bus station),47.74208,7.34194,Belfort,47.6297,6.85617,55,46.7917
Belfort,47.6297,6.85617,Besançon,47.24691,6.0226,75,95.9362
Besançon,47.24691,6.0226,Lyon Perrache (Central Bus Station),45.74875,4.82602,195,255.4432
Lyon Perrache (Central Bus Station),45.74875,4.82602,Avignon (Le Pontet),43.96063,4.85594,160,223.1033
Avignon (Le Pontet),43.96063,4.85594,Aix-en-Provence (Parking Krypton),43.51099,5.44762,70,82.1361
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Marseille (central bus station St Charles),43.30408,5.37999,30,30.1028
Marseille (central bus station St Charles),43.30408,5.37999,Aix-en-Provence (Parking Krypton),43.51099,5.44762,25,30.6709
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Avignon (Le Pontet),43.96063,4.85594,75,82.6366
Avignon (Le Pontet),43.96063,4.85594,Lyon Perrache (Central Bus Station),45.74875,4.82602,170,224.304
Lyon Perrache (Central Bus Station),45.74875,4.82602,Besançon,47.24691,6.0226,195,255.9598
Besançon,47.24691,6.0226,Belfort,47.6297,6.85617,70,95.7576
Belfort,47.6297,6.85617,Mulhouse (bus station),47.74208,7.34194,55,47.4338
Mulhouse (bus station),47.74208,7.34194,Strasbourg,48.57418,7.75427,90,114.5467
Bordeaux Saint-Jean,44.82982,-0.55521,Niort (Pied de Fond),46.30729,-0.48525,135,189.9042
Niort (Pied de Fond),46.30729,-0.48525,Nantes Haluchère,47.24893,-1.52081,120,150.2065
Nantes Haluchère,47.24893,-1.52081,Vannes (Central bus station),47.66492,-2.75143,85,114.1218
Vannes (Central bus station),47.66492,-2.75143,Auray - Pluneret,47.66805,-2.95515,15,16.631
Auray - Pluneret,47.66805,-2.95515,Lorient (central bus station),47.75536,-3.36449,35,41.5645
Lorient (central bus station),47.75536,-3.36449,Auray - Pluneret,47.66805,-2.95515,35,40.2996
Auray - Pluneret,47.66805,-2.95515,Vannes (Central bus station),47.66492,-2.75143,20,17.9458
Vannes (Central bus station),47.66492,-2.75143,Nantes Haluchère,47.24893,-1.52081,80,112.7281
Nantes Haluchère,47.24893,-1.52081,Niort (Pied de Fond),46.30729,-0.48525,110,148.6326
Niort (Pied de Fond),46.30729,-0.48525,Bordeaux Saint-Jean,44.82982,-0.55521,130,186.3009
Bellegarde (Péage),46.11511,5.7949,Lyon Perrache (Central Bus Station),45.74875,4.82602,100,110.2417
Lyon Perrache (Central Bus Station),45.74875,4.82602,Bellegarde (Péage),46.11511,5.7949,105,110.4847
La Roche Sur Foron,46.06715,6.3127,Annecy (Gare Routière Sud),45.9017,6.12168,30,36.9087
Annecy (Gare Routière Sud),45.9017,6.12168,Chambéry (Place de la Gare),45.57058,5.91973,30,49.3699
Chambéry (Place de la Gare),45.57058,5.91973,Grenoble (Eurolines),45.19272,5.7143,45,59.0613
Grenoble (Eurolines),45.19272,5.7143,Lyon Perrache (Eurolines),45.74916,4.82632,80,105.1738
Lyon Perrache (Eurolines),45.74916,4.82632,Grenoble (Eurolines),45.19272,5.7143,80,104.4738
Grenoble (Eurolines),45.19272,5.7143,Chambéry (Place de la Gare),45.57058,5.91973,45,59.7051
Chambéry (Place de la Gare),45.57058,5.91973,Annecy (Gare Routière Sud),45.9017,6.12168,30,47.7444
Annecy (Gare Routière Sud),45.9017,6.12168,La Roche Sur Foron,46.06715,6.3127,30,35.7934
Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,Toulon (Central Bus Station),43.12779,5.93074,115,143.3732
Toulon (Central Bus Station),43.12779,5.93074,Marseille (central bus station St Charles),43.30408,5.37999,90,65.4295
Marseille (central bus station St Charles),43.30408,5.37999,Aix-en-Provence (Parking Krypton),43.51099,5.44762,35,30.6709
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Avignon (Le Pontet),43.96063,4.85594,75,82.6366
Avignon (Le Pontet),43.96063,4.85594,Nîmes (P+R Parnasse),43.81743,4.36218,45,52.4083
Nîmes (P+R Parnasse),43.81743,4.36218,Montpellier (Sabines),43.58393,3.86023,50,53.1727
Montpellier (Sabines),43.58393,3.86023,Béziers (de Gaulle),43.34534,3.21799,60,66.1618
Béziers (de Gaulle),43.34534,3.21799,Narbonne (Central bus station),43.18833,3.00335,30,27.2623
Narbonne (Central bus station),43.18833,3.00335,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,110,152.8764
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,80,110.1081
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,95,132.8369
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,95,134.1469
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,80,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Narbonne (Central bus station),43.18833,3.00335,110,152.9553
Narbonne (Central bus station),43.18833,3.00335,Béziers (de Gaulle),43.34534,3.21799,35,29.1436
Béziers (de Gaulle),43.34534,3.21799,Montpellier (Sabines),43.58393,3.86023,60,67.9159
Montpellier (Sabines),43.58393,3.86023,Nîmes (P+R Parnasse),43.81743,4.36218,50,53.8036
Nîmes (P+R Parnasse),43.81743,4.36218,Avignon (Le Pontet),43.96063,4.85594,45,53.052
Avignon (Le Pontet),43.96063,4.85594,Aix-en-Provence (Parking Krypton),43.51099,5.44762,80,82.1361
Aix-en-Provence (Parking Krypton),43.51099,5.44762,Marseille (central bus station St Charles),43.30408,5.37999,40,30.1028
Marseille (central bus station St Charles),43.30408,5.37999,Toulon (Central Bus Station),43.12779,5.93074,75,66.5979
Toulon (Central Bus Station),43.12779,5.93074,Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,115,1075.4071
Lyon Perrache (Central Bus Station),45.74875,4.82602,Grenoble (central bus station),45.19283,5.71394,95,104.4014
Grenoble (central bus station),45.19283,5.71394,Lyon Perrache (Central Bus Station),45.74875,4.82602,95,105.3058
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Lyon Perrache (Central Bus Station),45.74875,4.82602,130,165.9137
Lyon Perrache (Central Bus Station),45.74875,4.82602,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,125,166.3595
Paris (Bercy Seine),48.83532,2.38052,Paris (Pont de Sèvres),48.82971,2.22978,50,15.3982
Paris (Pont de Sèvres),48.82971,2.22978,Angers (central bus station),47.46502,-0.55917,235,288.4637
Angers (central bus station),47.46502,-0.55917,Nantes Haluchère,47.24893,-1.52081,65,82.9569
Nantes Haluchère,47.24893,-1.52081,Vannes (Central bus station),47.66492,-2.75143,90,114.1218
Vannes (Central bus station),47.66492,-2.75143,Auray - Pluneret,47.66805,-2.95515,15,16.631
Auray - Pluneret,47.66805,-2.95515,Lorient (central bus station),47.75536,-3.36449,35,41.5645
Lorient (central bus station),47.75536,-3.36449,Auray - Pluneret,47.66805,-2.95515,35,40.2996
Auray - Pluneret,47.66805,-2.95515,Vannes (Central bus station),47.66492,-2.75143,15,17.9458
Vannes (Central bus station),47.66492,-2.75143,Nantes Haluchère,47.24893,-1.52081,80,112.7281
Nantes Haluchère,47.24893,-1.52081,Angers (central bus station),47.46502,-0.55917,65,86.5924
Angers (central bus station),47.46502,-0.55917,Paris (Pont de Sèvres),48.82971,2.22978,245,288.5071
Paris (Pont de Sèvres),48.82971,2.22978,Paris (Bercy Seine),48.83532,2.38052,45,16.3799
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Thiers (Péage A89),45.86032,3.50309,30,38.444
Thiers (Péage A89),45.86032,3.50309,Lyon Perrache (Central Bus Station),45.74875,4.82602,100,127.4697
Lyon Perrache (Central Bus Station),45.74875,4.82602,Lyon Saint Exupéry Airport,45.7185,5.07898,40,27.1529
Lyon Saint Exupéry Airport,45.7185,5.07898,Grenoble (central bus station),45.19283,5.71394,65,92.2766
Grenoble (central bus station),45.19283,5.71394,Lyon Saint Exupéry Airport,45.7185,5.07898,70,90.5192
Lyon Saint Exupéry Airport,45.7185,5.07898,Lyon Perrache (Central Bus Station),45.74875,4.82602,45,28.722
Lyon Perrache (Central Bus Station),45.74875,4.82602,Thiers (Péage A89),45.86032,3.50309,95,127.9992
Thiers (Péage A89),45.86032,3.50309,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,30,64.6055
Perpignan (Central Bus station),42.69502,2.87907,Montpellier (Sabines),43.58393,3.86023,115,1.0461
Montpellier (Sabines),43.58393,3.86023,Avignon (Le Pontet),43.96063,4.85594,84,100.2975
Avignon (Le Pontet),43.96063,4.85594,Besançon,47.24691,6.0226,330,474.9753
Besançon,47.24691,6.0226,Mulhouse (bus station),47.74208,7.34194,100,139.3869
Mulhouse (bus station),47.74208,7.34194,Besançon,47.24691,6.0226,95,139.5993
Besançon,47.24691,6.0226,Avignon (Le Pontet),43.96063,4.85594,330,475.6786
Avignon (Le Pontet),43.96063,4.85594,Montpellier (Sabines),43.58393,3.86023,85,100.3201
Montpellier (Sabines),43.58393,3.86023,Perpignan (Central Bus station),42.69502,2.87907,115,151.3121
Bordeaux Saint-Jean,44.82982,-0.55521,Paris (Bercy Seine),48.83532,2.38052,410,585.8864
Paris (Bercy Seine),48.83532,2.38052,Bordeaux Saint-Jean,44.82982,-0.55521,410,582.7451
Paris (Bercy Seine),48.83532,2.38052,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,50,30.2235
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,50,29.7487
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris Porte de Saint Ouen,48.90109,2.3318,45,24.2367
Paris Porte de Saint Ouen,48.90109,2.3318,Le Havre (central bus station),49.49224,0.12615,160,192.9748
Le Havre (central bus station),49.49224,0.12615,Paris Porte de Saint Ouen,48.90109,2.3318,160,196.406
Paris Porte de Saint Ouen,48.90109,2.3318,Paris (Bercy Seine),48.83532,2.38052,40,15.7812
Paris (Bercy Seine),48.83532,2.38052,Paris Porte de Saint Ouen,48.90109,2.3318,40,9.6512
Paris Porte de Saint Ouen,48.90109,2.3318,Le Havre (central bus station),49.49224,0.12615,155,192.9748
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,45,30.5631
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Le Havre (central bus station),49.49224,0.12615,135,185.942
Le Havre (central bus station),49.49224,0.12615,Paris Porte de Saint Ouen,48.90109,2.3318,160,196.406
Paris Porte de Saint Ouen,48.90109,2.3318,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,40,24.0967
Paris (Bercy Seine),48.83532,2.38052,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,40,12.7315
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Le Havre (central bus station),49.49224,0.12615,140,185.942
Le Havre (central bus station),49.49224,0.12615,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,140,186.9929
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,50,28.9457
Le Havre (central bus station),49.49224,0.12615,Paris Porte de Saint Ouen,48.90109,2.3318,160,196.406
Paris Porte de Saint Ouen,48.90109,2.3318,Le Havre (central bus station),49.49224,0.12615,155,192.9748
Le Havre (central bus station),49.49224,0.12615,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,140,186.9929
Le Havre (central bus station),49.49224,0.12615,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,140,186.9929
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Paris (Bercy Seine),48.83532,2.38052,40,14.4262
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Le Havre (central bus station),49.49224,0.12615,140,185.942
Le Havre (central bus station),49.49224,0.12615,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,140,186.9929
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Paris Porte de Saint Ouen,48.90109,2.3318,20,10.987
Le Havre (central bus station),49.49224,0.12615,Paris (Bercy Seine),48.83532,2.38052,190,205.4843
Paris Porte de Saint Ouen,48.90109,2.3318,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,20,8.0242
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Le Havre (central bus station),49.49224,0.12615,140,185.942
Pau,43.31899,-0.3621,Tarbes,43.22999,0.08026,45,42.9679
Tarbes,43.22999,0.08026,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,120,156.6745
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Carcassonne,43.21546,2.34779,80,94.1064
Carcassonne,43.21546,2.34779,Narbonne (Central bus station),43.18833,3.00335,50,69.3145
Narbonne (Central bus station),43.18833,3.00335,Montpellier (Sabines),43.58393,3.86023,75,92.3104
Montpellier (Sabines),43.58393,3.86023,Marseille (central bus station St Charles),43.30408,5.37999,125,170.1753
Marseille (central bus station St Charles),43.30408,5.37999,Toulon (Central Bus Station),43.12779,5.93074,120,66.5979
Toulon (Central Bus Station),43.12779,5.93074,Puget-sur-Argens,43.45696,6.68937,65,1.1829
Puget-sur-Argens,43.45696,6.68937,Cannes (Le Cannet),43.5707,7.01485,35,38.3507
Cannes (Le Cannet),43.5707,7.01485,Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,30,25.7897
Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,Cannes (Le Cannet),43.5707,7.01485,30,25.3375
Cannes (Le Cannet),43.5707,7.01485,Puget-sur-Argens,43.45696,6.68937,30,39.709
Puget-sur-Argens,43.45696,6.68937,Toulon (Central Bus Station),43.12779,5.93074,65,85.387
Toulon (Central Bus Station),43.12779,5.93074,Marseille (central bus station St Charles),43.30408,5.37999,105,65.4295
Marseille (central bus station St Charles),43.30408,5.37999,Montpellier (Sabines),43.58393,3.86023,125,169.4076
Montpellier (Sabines),43.58393,3.86023,Narbonne (Central bus station),43.18833,3.00335,75,90.2778
Narbonne (Central bus station),43.18833,3.00335,Carcassonne,43.21546,2.34779,50,60.7865
Carcassonne,43.21546,2.34779,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,80,94.5152
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Tarbes,43.22999,0.08026,120,156.9014
Tarbes,43.22999,0.08026,Pau,43.31899,-0.3621,44,42.4464
Hendaye,43.35113,-1.78327,Bordeaux Saint-Jean,44.82982,-0.55521,150,222.1844
Bordeaux Saint-Jean,44.82982,-0.55521,Paris (Bercy Seine),48.83532,2.38052,400,585.8864
Paris (Bercy Seine),48.83532,2.38052,Bordeaux Saint-Jean,44.82982,-0.55521,400,582.7451
Bordeaux Saint-Jean,44.82982,-0.55521,Hendaye,43.35113,-1.78327,155,222.8427
Perpignan (Central Bus station),42.69502,2.87907,Montpellier (Sabines),43.58393,3.86023,110,1.0461
Montpellier (Sabines),43.58393,3.86023,Lyon Perrache (Central Bus Station),45.74875,4.82602,220,302.8029
Lyon Perrache (Central Bus Station),45.74875,4.82602,Montpellier (Sabines),43.58393,3.86023,220,301.7891
Montpellier (Sabines),43.58393,3.86023,Perpignan (Central Bus station),42.69502,2.87907,110,151.3121
Grenoble (central bus station),45.19283,5.71394,Voiron (Champfeuillet),45.34993,5.56773,25,23.7539
Voiron (Champfeuillet),45.34993,5.56773,Lyon Perrache (Central Bus Station),45.74875,4.82602,65,83.0067
Lyon Perrache (Central Bus Station),45.74875,4.82602,Paris (Orly Airport),48.73156,2.37358,325,448.7736
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,25,15.0458
Paris (Bercy Seine),48.83532,2.38052,Paris Pont de Levallois,48.89774,2.28125,40,12.4274
Paris Pont de Levallois,48.89774,2.28125,Rouen (Avenue Champlain),49.43419,1.0927,100,126.274
Rouen (Avenue Champlain),49.43419,1.0927,Paris Pont de Levallois,48.89774,2.28125,90,126.805
Paris Pont de Levallois,48.89774,2.28125,Paris (Bercy Seine),48.83532,2.38052,35,20.1683
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,30,16.5344
Paris (Orly Airport),48.73156,2.37358,Lyon Perrache (Central Bus Station),45.74875,4.82602,321,447.7469
Lyon Perrache (Central Bus Station),45.74875,4.82602,Voiron (Champfeuillet),45.34993,5.56773,65,82.1329
Voiron (Champfeuillet),45.34993,5.56773,Grenoble (central bus station),45.19283,5.71394,25,24.4234
Dijon (bus station),47.32353,5.0279,Auxerre,47.79662,3.5845,110,5747.2285
Auxerre,47.79662,3.5845,Paris (Bercy Seine),48.83532,2.38052,130,167.7387
Paris (Bercy Seine),48.83532,2.38052,Auxerre,47.79662,3.5845,125,168.677
Auxerre,47.79662,3.5845,Dijon (bus station),47.32353,5.0279,110,147.7104
Lons-le-Saunier Autocar Transarc Credoz,46.69305,5.55781,Dijon (bus station),47.32353,5.0279,80,96.2082
Dijon (bus station),47.32353,5.0279,Auxerre,47.79662,3.5845,115,5747.2285
Auxerre,47.79662,3.5845,Paris (Bercy Seine),48.83532,2.38052,130,167.7387
Paris (Bercy Seine),48.83532,2.38052,Auxerre,47.79662,3.5845,130,168.677
Auxerre,47.79662,3.5845,Dijon (bus station),47.32353,5.0279,115,147.7104
Dijon (bus station),47.32353,5.0279,Lons-le-Saunier Autocar Transarc Credoz,46.69305,5.55781,80,5550.1724
Paris (Bercy Seine),48.83532,2.38052,Lille,50.6392,3.0762,180,223.7503
Lille,50.6392,3.0762,Paris (Bercy Seine),48.83532,2.38052,170,221.9624
Tourcoing,50.72131,3.16288,Lille,50.6392,3.0762,20,11.8737
Lille,50.6392,3.0762,Compiègne Sud (Verberie Parking PL),49.32154,2.69752,110,157.3906
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,45,29.7487
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,30,16.5344
Paris (Orly Airport),48.73156,2.37358,Rennes (Central bus station),48.1039,-1.67062,265,338.4708
Vannes (Central bus station),47.66492,-2.75143,Auray - Pluneret,47.66805,-2.95515,15,16.631
Auray - Pluneret,47.66805,-2.95515,Lorient (central bus station),47.75536,-3.36449,35,41.5645
Lorient (central bus station),47.75536,-3.36449,Concarneau Nord,47.922,-3.90163,40,49.872
Concarneau Nord,47.922,-3.90163,Quimper (Central bus station),47.99469,-4.09378,20,20.5288
Quimper (Central bus station),47.99469,-4.09378,Concarneau Nord,47.922,-3.90163,20,19.8078
Concarneau Nord,47.922,-3.90163,Lorient (central bus station),47.75536,-3.36449,35,47.4547
Lorient (central bus station),47.75536,-3.36449,Auray - Pluneret,47.66805,-2.95515,40,40.2996
Auray - Pluneret,47.66805,-2.95515,Vannes (Central bus station),47.66492,-2.75143,15,17.9458
Rennes (Central bus station),48.1039,-1.67062,Paris (Orly Airport),48.73156,2.37358,250,339.4959
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,25,15.0458
Paris (Bercy Seine),48.83532,2.38052,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,45,30.2235
Compiègne Sud (Verberie Parking PL),49.32154,2.69752,Lille,50.6392,3.0762,110,157.6836
Lille,50.6392,3.0762,Tourcoing,50.72131,3.16288,20,11.9832
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,95,134.1469
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Carcassonne,43.21546,2.34779,95,94.1064
Bordeaux Saint-Jean,44.82982,-0.55521,Niort (Pied de Fond),46.30729,-0.48525,135,189.9042
Niort (Pied de Fond),46.30729,-0.48525,Nantes Haluchère,47.24893,-1.52081,115,150.2065
Carcassonne,43.21546,2.34779,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,100,94.5152
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,85,110.1081
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,100,132.8369
Bordeaux Saint-Jean,44.82982,-0.55521,Niort (Pied de Fond),46.30729,-0.48525,135,189.9042
Niort (Pied de Fond),46.30729,-0.48525,Nantes Haluchère,47.24893,-1.52081,115,150.2065
Nantes Haluchère,47.24893,-1.52081,Niort (Pied de Fond),46.30729,-0.48525,115,148.6326
Niort (Pied de Fond),46.30729,-0.48525,Bordeaux Saint-Jean,44.82982,-0.55521,140,186.3009
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,95,134.1469
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Carcassonne,43.21546,2.34779,95,94.1064
Carcassonne,43.21546,2.34779,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,100,94.5152
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,85,110.1081
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,100,132.8369
Paris (Bercy Seine),48.83532,2.38052,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,30,12.7315
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Honfleur (Central Bus Station),49.4188,0.23838,145,188.1146
Honfleur (Central Bus Station),49.4188,0.23838,Deauville (Train Station),49.35927,0.08389,25,15.7555
Deauville (Train Station),49.35927,0.08389,Cabourg,49.29418,-0.10658,40,25.7028
Cabourg,49.29418,-0.10658,Deauville (Train Station),49.35927,0.08389,35,24.8515
Deauville (Train Station),49.35927,0.08389,Honfleur (Central Bus Station),49.4188,0.23838,25,15.2855
Honfleur (Central Bus Station),49.4188,0.23838,Paris La Défense (Terminal Jules Verne),48.89147,2.24247,135,189.7755
Paris La Défense (Terminal Jules Verne),48.89147,2.24247,Paris (Bercy Seine),48.83532,2.38052,40,14.4262
Lyon Perrache (Central Bus Station),45.74875,4.82602,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,125,166.3595
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Ussel,45.51243,2.25747,125,90.3759
